Truck ID,Component Description,Category Group,Installation Date,Age (Days),Current Health (%),Projected 50% Date
30013054,AIRE COMPRIMIDO 660ML,CLUSTER_11,2026-02-19,111,85.2,Exceeds Model Limit
30012859,MANOMETRO 5000LB 260-00461A,CLUSTER_13,2026-02-10,120,83.1,Exceeds Model Limit
30012834,REUS FRENOS DE AIRE 3/8 -HEMB 1/2 GIRAT,CLUSTER_19,2026-02-12,118,82.6,Exceeds Model Limit
30012251,DISPOSICION DE MATERIAL POR UNIDAD EN CA,CLUSTER_22,2026-02-06,124,82.0,Exceeds Model Limit
30013051,GRASA LUBRIPLATE 284GR,CLUSTER_20,2026-01-27,134,81.5,Exceeds Model Limit
30013220,PINZA P/TIERRA 300AMP,CLUSTER_20,2026-01-31,130,81.5,Exceeds Model Limit
30013007,COPLE P/TUBERIA 3/4PUL GALVANIZADO,CLUSTER_13,2026-01-28,133,81.0,Exceeds Model Limit
30013007,TAPON MACHO 1/2PUL GALV.,CLUSTER_13,2026-01-28,133,81.0,Exceeds Model Limit
30013041,COPLE P/TUBERIA 3/4PUL GALVANIZADO,CLUSTER_13,2026-01-28,133,81.0,Exceeds Model Limit
30013041,TAPON MACHO 1/2PUL GALV.,CLUSTER_13,2026-01-28,133,81.0,Exceeds Model Limit
30013052,COPLE P/TUBERIA 3/4PUL GALVANIZADO,CLUSTER_13,2026-01-28,133,81.0,Exceeds Model Limit
30013052,REDUCCION BUJE 1PULX3/4PUL GALVANIZADO,CLUSTER_13,2026-01-28,133,81.0,Exceeds Model Limit
30013221,VALVULA SEGURIDAD 1/4PUL 150LB MOD 5A70,CLUSTER_11,2025-08-27,287,80.2,Exceeds Model Limit
30013040,CAPUCHA P/BOTON ELECTRICO 10132345,CLUSTER_20,2025-12-09,183,79.8,Exceeds Model Limit
30013412,MANGA HULE NATURAL 12DIAMX12ANCHOX1/4PUL,CLUSTER_20,2025-12-11,181,79.8,Exceeds Model Limit
30013221,CREMA DESENGRASANTE P/MANOS CITRICO,CLUSTER_9,2026-02-18,112,79.7,2031-10-15
30012249,ANTICONGELANTE COMPLEAT CC-2711G,CLUSTER_15,2026-01-29,132,79.6,Exceeds Model Limit
30009798,RELEVADOR 24V 269463006,CLUSTER_20,2026-02-09,121,79.4,Exceeds Model Limit
30012834,ACEITE MOTOR,CLUSTER_21,2026-02-03,127,79.2,Exceeds Model Limit
30012834,KIT DE ANILLOS,CLUSTER_21,2026-02-03,127,79.2,Exceeds Model Limit
30012834,KIT DE EMPAQUES SUPERIOR,CLUSTER_21,2026-02-03,127,79.2,Exceeds Model Limit
30012244,CILINDRO P/CANALON SITRAK 67015,CLUSTER_20,2025-11-27,195,79.1,Exceeds Model Limit
30012859,DISCO DE PRENSA	,CLUSTER_12,2026-02-13,117,79.1,Exceeds Model Limit
30012828,MANGUERA AIRE 3/4 ADAPT FLEX 200PSI,CLUSTER_9,2026-02-10,120,78.8,2031-10-07
30013220,RESORTE 467077,CLUSTER_20,2025-11-21,201,78.7,Exceeds Model Limit
30012226,DISPOSICION DE MATERIAL POR UNIDAD EN CA,CLUSTER_22,2025-11-19,203,78.4,Exceeds Model Limit
30013041,FILTRO 1R-0722 / AF 6202,CLUSTER_20,2025-11-05,217,78.4,Exceeds Model Limit
30012331,BASE FILTRO 140-004351,CLUSTER_11,2025-06-25,350,78.3,Exceeds Model Limit
30013013,LIMPIEZA DE OLLA,CLUSTER_8,2025-11-04,218,78.3,Exceeds Model Limit
30012833,JABON GOJO P/MANOS 1400 ML 1916,CLUSTER_20,2025-10-17,236,78.2,Exceeds Model Limit
30013014,REDUCCION BUSHING GALVANIZADA 2 A 3/4PUL,CLUSTER_20,2025-10-07,246,78.1,Exceeds Model Limit
30013007,TAPON MACHO 3/8PUL GALV.,CLUSTER_9,2026-01-28,133,78.0,2031-09-24
30013041,TAPON MACHO 3/8PUL GALV.,CLUSTER_9,2026-01-28,133,78.0,2031-09-24
30013052,TAPON MACHO 1/8PUL GALV.,CLUSTER_9,2026-01-28,133,78.0,2031-09-24
30013052,TAPON MACHO 3/8PUL GALV.,CLUSTER_9,2026-01-28,133,78.0,2031-09-24
30013220,PORTA ELECTRODO 300AMP,CLUSTER_9,2026-01-31,130,78.0,2031-09-27
30012226,CILINDRO P/CANALON SITRAK 67015,CLUSTER_20,2025-10-16,237,77.9,Exceeds Model Limit
30012331,KIT SELLO (990231.000) /100-02465,CLUSTER_11,2025-05-30,376,77.9,Exceeds Model Limit
30012831,BOLSA PLASTICO 20X30CM POR KG,CLUSTER_20,2025-09-12,271,77.9,Exceeds Model Limit
30012245,RELEVADOR DE CORRIENTE,CLUSTER_13,2025-10-17,236,77.8,Exceeds Model Limit
30012251,RELEVADOR DE CORRIENTE,CLUSTER_13,2025-10-17,236,77.8,Exceeds Model Limit
30013409,RELEVADOR DE CORRIENTE,CLUSTER_13,2025-10-07,246,77.7,Exceeds Model Limit
30013050,PARCHE P/LLANTA XRP 14,CLUSTER_15,2025-10-01,252,77.6,Exceeds Model Limit
30012245,PLAFON AMBAR OVALADO 6'',CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,PLAFON LEDS TRASERO CUADRADO ROJO CAMION,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,PLAFON LEDS TRASERO ROJO,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,"PLAFON ROJOS 4"" LEDS",CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,PLAFON TRASERO IZQUIERDO Y DERECHO CAMIO,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,REPARACION DE CORTO EN LINEAS DE CORRIEN,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,REPARACION DE SISTEMA ELECTRICO DE LUCES,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,REPUESTO 9004 12V,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,REPUESTO H-7 24V CAMION 12251,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,TERMINAL 1/4 AZUL,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012245,TERMINAL ZAPATA COBRE 3/8,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,PLAFON AMBAR OVALADO 6'',CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,PLAFON LEDS TRASERO CUADRADO ROJO CAMION,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,PLAFON LEDS TRASERO ROJO,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,"PLAFON ROJOS 4"" LEDS",CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,PLAFON TRASERO IZQUIERDO Y DERECHO CAMIO,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,REPARACION DE CORTO EN LINEAS DE CORRIEN,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,REPARACION DE SISTEMA ELECTRICO DE LUCES,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,REPUESTO 9004 12V,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,REPUESTO H-7 24V CAMION 12251,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,TERMINAL 1/4 AZUL,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30012251,TERMINAL ZAPATA COBRE 3/8,CLUSTER_22,2025-10-17,236,77.5,Exceeds Model Limit
30013013,COPLE HEMBRA/HEMBRA NPT D400IAL 4PUL,CLUSTER_20,2025-08-27,287,77.5,Exceeds Model Limit
30011667,DISPOSICION DE MATERIAL POR UNIDAD EN CA,CLUSTER_22,2025-10-13,240,77.4,Exceeds Model Limit
30011667,REPARACION DE DEFENSA,CLUSTER_8,2025-11-10,212,77.4,Exceeds Model Limit
30012224,DISPOSICION DE MATERIAL POR UNIDAD EN CA,CLUSTER_22,2025-10-13,240,77.4,Exceeds Model Limit
30012226,RELEVADOR DE CORRIENTE,CLUSTER_13,2025-09-09,274,77.4,Exceeds Model Limit
30013409,"CABLE # 4 CAMION 13409 AUT, ING, ROBERTO",CLUSTER_22,2025-10-07,246,77.3,Exceeds Model Limit
30013409,FUSIBLE 4VARIOS AMPS,CLUSTER_22,2025-10-07,246,77.3,Exceeds Model Limit
30013409,PLAFON LEDS TRASERO,CLUSTER_22,2025-10-07,246,77.3,Exceeds Model Limit
30013409,"PLAFON ROJO 4"" LEDS",CLUSTER_22,2025-10-07,246,77.3,Exceeds Model Limit
30013409,PROTECCION 100 AMPS,CLUSTER_22,2025-10-07,246,77.3,Exceeds Model Limit
30013409,REPARACION DE SISTEMA ELECTRICO LINEAS D,CLUSTER_22,2025-10-07,246,77.3,Exceeds Model Limit
30013409,SOQUET SUELTOS CAMION # 9630,CLUSTER_22,2025-10-07,246,77.3,Exceeds Model Limit
30012245,FARO DE REVERZA,CLUSTER_19,2025-10-17,236,77.2,Exceeds Model Limit
30012251,FARO DE REVERZA,CLUSTER_19,2025-10-17,236,77.2,Exceeds Model Limit
30013010,"TODOS  O.S. TOLEDANO SUMINISTRO, FABRICA",CLUSTER_17,2026-01-12,149,77.1,Exceeds Model Limit
30013023,"TODOS  O.S. TOLEDANO SUMINISTRO, FABRICA",CLUSTER_17,2026-01-12,149,77.1,Exceeds Model Limit
30013040,"TODOS  O.S. TOLEDANO SUMINISTRO, FABRICA",CLUSTER_17,2026-01-12,149,77.1,Exceeds Model Limit
30013042,"TODOS  O.S. TOLEDANO SUMINISTRO, FABRICA",CLUSTER_17,2026-01-12,149,77.1,Exceeds Model Limit
30013050,"TODOS  O.S. TOLEDANO SUMINISTRO, FABRICA",CLUSTER_17,2026-01-12,149,77.1,Exceeds Model Limit
30013055,"TODOS  O.S. TOLEDANO SUMINISTRO, FABRICA",CLUSTER_17,2026-01-12,149,77.1,Exceeds Model Limit
30012226,ACUMULADOR L24/R CARGO UBIDAD G016,CLUSTER_22,2025-09-09,274,77.0,Exceeds Model Limit
30012226,ENCHUFES /FOCO,CLUSTER_22,2025-09-09,274,77.0,Exceeds Model Limit
30012226,FOCO # 67 24V,CLUSTER_22,2025-09-09,274,77.0,Exceeds Model Limit
30012226,PLAFON TRASERO 24 VOLT CAMION 11791,CLUSTER_22,2025-09-09,274,77.0,Exceeds Model Limit
30012226,REPUESTO H-7 24V camion 121226,CLUSTER_22,2025-09-09,274,77.0,Exceeds Model Limit
30012245,CINCHO PLASTICO,CLUSTER_8,2025-10-17,236,76.9,Exceeds Model Limit
30012251,CINCHO PLASTICO,CLUSTER_8,2025-10-17,236,76.9,Exceeds Model Limit
30013008,LLAVE MIXTA STD 1PUL 29901730,CLUSTER_20,2025-07-14,331,76.8,Exceeds Model Limit
30013023,CAPUCHA P/BOTON ELECTRICO 10132345,CLUSTER_20,2025-07-09,336,76.8,Exceeds Model Limit
30010146,AIRE COMPRIMIDO 660ML,CLUSTER_11,2026-02-12,118,76.7,2029-11-23
30012223,CAJA PORTATIL BLOQUEO GRUPAL 51171,CLUSTER_20,2025-08-19,295,76.5,Exceeds Model Limit
30012828,TORNILLOS DE 3/8,CLUSTER_19,2025-08-13,301,76.5,Exceeds Model Limit
30013040,BOLSA NEGRA 90 X 120 1KG,CLUSTER_20,2025-05-26,380,76.5,Exceeds Model Limit
30006169,AFLOJATODO ATOMIZADOR,CLUSTER_11,2025-12-02,190,76.4,2030-01-30
30006169,LUBRIPLATE GRASA LUBRICANTE,CLUSTER_11,2025-12-02,190,76.4,2030-01-30
30013009,ACEITE MOBIL DTE 26 208LT - TELLUS 68,CLUSTER_15,2025-07-09,336,76.3,Exceeds Model Limit
30013219,ACEITE MOBIL DTE 26 208LT - TELLUS 68,CLUSTER_15,2025-07-04,341,76.3,Exceeds Model Limit
30013013,COSMETICO P/BANDA TF 92-A 250GR,CLUSTER_20,2025-04-21,415,76.2,Exceeds Model Limit
30010152,VALVULA SEGURIDAD 1/4PUL 150LB MOD 5A70,CLUSTER_11,2025-12-02,190,76.1,2030-05-05
